"PVWatts Hourly PV Performance Data"
"Requested Location","los angeles, CA"
"Location","Lat, Lng: 34.05, -118.26"
"Latitude (DD)","34.05"
"Longitude (DD)","-118.26"
"Elevation (m)","97.559997558594"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","20","18","0","0","11","1.8","0.13","0","11","0","0"
"3","20","19","0","0","10","1.9","0.13","0","10","0","0"
"3","20","20","0","0","9","2.2","0.13","0","9","0","0"
"3","20","21","0","0","8","2.4","0.13","0","8","0","0"
"3","20","22","0","0","8","2.7","0.13","0","8","0","0"
"3","20","23","0","0","7","2.8","0.13","0","7","0","0"
"3","21","0","0","0","7","3","0.13","0","7","0","0"
"3","21","1","0","0","7","3.3","0.13","0","7","0","0"
"3","21","2","0","0","7","3.7","0.13","0","7","0","0"
"3","21","3","0","0","7","4.2","0.13","0","7","0","0"
"3","21","4","0","0","7","4.7","0.13","0","7","0","0"
"3","21","5","0","0","7","5","0.13","0","7","0","0"
"3","21","6","198","39","9","5.1","0.13","66.235","9.926","449.987","394.407"
"3","21","7","391","105","12","5.1","0.13","256.986","15.831","2207.091","2089.249"
"3","21","8","857","88","14","4.7","0.13","608.352","23.623","5313.189","5085.286"
"3","21","9","919","102","16","4","0.13","823.053","30.293","6933.324","6648.014"
"3","21","10","957","108","17","3.2","0.13","980.318","36.207","7999.787","7676.687"
"3","21","11","968","114","18","2.7","0.13","1060.094","40.591","8461.362","8121.906"
"3","21","12","965","117","19","2.4","0.13","1060.38","42.866","8386.079","8049.291"
"3","21","13","948","113","20","2.4","0.13","977.575","42.021","7794.678","7478.846"
"3","21","14","903","109","19","2.2","0.13","822.37","38.279","6712.776","6435.28"
"3","21","15","819","100","18","1.6","0.13","598.419","33.925","5019.869","4802.359"
"3","21","16","672","79","16","1","0.13","338.579","26.281","2796.076","2657.364"
"3","21","17","313","41","14","1.1","0.13","84.015","16.298","536.057","477.427"
"3","21","18","0","0","13","1.6","0.13","0","13","0","0"
"3","21","19","0","0","12","1.9","0.13","0","12","0","0"
"3","21","20","0","0","11","1.9","0.13","0","11","0","0"
"3","21","21","0","0","10","1.8","0.13","0","10","0","0"
"3","21","22","0","0","9","1.5","0.13","0","9","0","0"
"3","21","23","0","0","9","1.3","0.13","0","9","0","0"
"3","22","0","0","0","9","1.3","0.13","0","9","0","0"
